TEAM,GP,E,FP,TC,PO,A
PHILADELPHIA PHILLIES,9,1,0.997,321,243,77
TORONTO BLUE JAYS,11,2,0.995,382,290,90
SAN FRANCISCO GIANTS,10,2,0.995,378,273,103
KANSAS CITY ROYALS,10,3,0.992,382,274,105
LOS ANGELES ANGELS,9,3,0.991,330,246,81
ATLANTA BRAVES,9,3,0.990,308,223,82
TEXAS RANGERS,11,4,0.990,391,291,96
ST. LOUIS CARDINALS,10,4,0.990,382,271,107
NEW YORK METS,10,4,0.989,371,267,100
DETROIT TIGERS,10,4,0.989,359,262,93
SEATTLE MARINERS,11,5,0.988,416,298,113
CHICAGO WHITE SOX,9,4,0.988,320,235,81
MINNESOTA TWINS,10,4,0.987,319,258,57
CHICAGO CUBS,13,6,0.987,470,345,119
WASHINGTON NATIONALS,10,5,0.986,368,264,99
SAN DIEGO PADRES,11,6,0.984,380,291,83
TAMPA BAY RAYS,9,5,0.984,315,236,74
BALTIMORE ORIOLES,11,6,0.984,377,285,86
ATHLETICS,11,6,0.984,376,294,76
NEW YORK YANKEES,10,6,0.984,366,271,89
LOS ANGELES DODGERS,12,7,0.983,421,318,96
HOUSTON ASTROS,10,6,0.983,343,267,70
ARIZONA DIAMONDBACKS,11,7,0.982,388,288,93
MIAMI MARLINS,10,7,0.982,387,279,101
MILWAUKEE BREWERS,10,6,0.982,331,267,58
COLORADO ROCKIES,9,6,0.982,331,234,91
CINCINNATI REDS,11,7,0.981,376,288,81
PITTSBURGH PIRATES,11,9,0.978,404,298,97
BOSTON RED SOX,11,10,0.975,404,288,106
CLEVELAND GUARDIANS,9,9,0.970,303,228,66
