TEAM,GP,W,L,ERA,SV,CG,SHO,QS,IP,H,ER,HR,BB,SO,OBA,WHIP
NEW YORK METS,10,7,3,1.72,4,0,0,1,89.0,65,17,4,37,92,.204,1.15
LOS ANGELES DODGERS,12,9,3,2.63,5,0,0,2,106.0,75,31,6,57,114,.196,1.25
SAN FRANCISCO GIANTS,10,8,2,2.77,5,0,0,4,91.0,76,28,10,34,85,.228,1.21
SAN DIEGO PADRES,11,9,2,2.88,6,0,0,3,97.0,66,31,10,46,96,.190,1.15
TAMPA BAY RAYS,9,4,5,2.97,1,0,1,4,78.2,60,26,7,16,87,.210,0.97
CINCINNATI REDS,11,4,7,3.09,2,0,0,6,96.0,67,33,10,27,82,.194,0.98
PHILADELPHIA PHILLIES,9,7,2,3.22,3,0,0,5,81.0,65,29,13,23,100,.219,1.09
KANSAS CITY ROYALS,10,5,5,3.25,3,0,0,4,91.1,77,33,8,36,81,.232,1.24
TEXAS RANGERS,11,8,3,3.34,6,1,1,2,97.0,80,36,8,27,97,.220,1.10
MIAMI MARLINS,10,5,5,3.68,1,0,0,1,93.0,82,38,11,42,80,.236,1.33
HOUSTON ASTROS,10,4,6,3.84,3,0,0,5,89.0,58,38,8,38,105,.183,1.08
TORONTO BLUE JAYS,11,6,5,3.91,4,0,0,5,96.2,78,42,14,35,90,.223,1.17
DETROIT TIGERS,10,6,4,3.92,2,0,0,2,87.1,63,38,13,32,80,.201,1.09
CHICAGO WHITE SOX,9,2,7,4.02,0,0,1,4,78.1,66,35,10,35,69,.227,1.29
CHICAGO CUBS,13,8,5,4.23,4,0,0,5,115.0,113,54,14,51,94,.258,1.43
SEATTLE MARINERS,11,4,7,4.26,4,0,0,3,99.1,96,47,13,37,92,.249,1.34
COLORADO ROCKIES,9,2,7,4.27,2,0,0,3,78.0,93,37,11,29,61,.300,1.56
BALTIMORE ORIOLES,11,5,6,4.36,0,0,0,3,95.0,96,46,8,30,86,.263,1.33
ATLANTA BRAVES,9,1,8,4.36,0,0,1,2,74.1,70,36,11,27,72,.251,1.30
BOSTON RED SOX,11,6,5,4.41,4,0,0,3,96.0,105,47,9,30,79,.283,1.41
NEW YORK YANKEES,10,6,4,4.48,2,0,0,0,90.1,67,45,10,45,101,.202,1.24
LOS ANGELES ANGELS,9,6,3,4.50,4,0,1,5,82.0,72,41,16,38,74,.236,1.34
WASHINGTON NATIONALS,10,4,6,4.70,4,0,0,4,88.0,96,46,11,39,76,.280,1.53
PITTSBURGH PIRATES,11,4,7,4.89,3,0,0,4,99.1,102,54,8,42,96,.266,1.45
MINNESOTA TWINS,10,3,7,4.92,0,0,0,1,86.0,93,47,15,29,86,.273,1.42
ARIZONA DIAMONDBACKS,11,5,6,5.06,3,0,0,2,96.0,85,54,17,35,106,.230,1.25
CLEVELAND GUARDIANS,9,3,6,5.09,1,0,0,1,76.0,86,43,14,31,60,.284,1.54
ATHLETICS,11,4,7,5.60,3,0,0,4,98.0,104,61,16,49,100,.272,1.56
MILWAUKEE BREWERS,10,5,5,5.97,2,0,2,2,89.0,82,59,22,37,84,.241,1.34
ST. LOUIS CARDINALS,10,4,6,6.18,2,0,0,2,90.1,91,62,9,35,74,.261,1.39
