timestamp,team1,team2,team1_raw,team2_raw,spread1_odds,ml1,total1_odds,spread2_odds,ml2,total2_odds
2025-04-08 09:45:03,NYYANKEES,DETTIGERS,NY Yankees,DET Tigers,−155,−105,+140,+130,−115,−166
2025-04-08 09:45:03,MIAMARLINS,NYMETS,MIA Marlins,NY Mets,−102,−112,+230,−118,−108,−285
2025-04-08 09:45:03,CHIWHITESOX,CLEGUARDIANS,CHI White Sox,CLE Guardians,−130,+100,+170,+110,−120,−205
2025-04-08 09:45:03,STLCARDINALS,PITPIRATES,STL Cardinals,PIT Pirates,−198,−118,+114,+164,−102,−135
2025-04-08 09:45:03,LADODGERS,WASNATIONALS,LA Dodgers,WAS Nationals,−110,−105,−175,−110,−115,+145
2025-04-08 09:45:03,TORBLUEJAYS,BOSREDSOX,TOR Blue Jays,BOS Red Sox,−130,−102,+164,+110,−118,−198
2025-04-08 09:45:03,LAANGELS,TBRAYS,LA Angels,TB Rays,−148,−108,+145,+124,−112,−175
2025-04-08 09:45:03,PHIPHILLIES,ATLBRAVES,PHI Phillies,ATL Braves,+170,−110,−105,−205,−110,−115
2025-04-08 09:45:03,MINTWINS,KCROYALS,MIN Twins,KC Royals,−205,−110,+102,+170,−110,−122
2025-04-08 09:45:03,TEXRANGERS,CHICUBS,TEX Rangers,CHI Cubs,−166,−118,+136,+140,−102,−162
2025-04-08 09:45:03,MILBREWERS,COLROCKIES,MIL Brewers,COL Rockies,−105,−108,−162,−115,−112,+136
2025-04-08 09:45:03,BALORIOLES,ARIDIAMONDBACKS,BAL Orioles,ARI Diamondbacks,+154,−115,+102,−185,−105,−122
2025-04-08 09:45:03,HOUASTROS,SEAMARINERS,HOU Astros,SEA Mariners,+160,−102,−108,−192,−118,−112
2025-04-08 09:45:03,CINREDS,SFGIANTS,CIN Reds,SF Giants,−198,+100,+110,+164,−120,−130
2025-04-08 09:45:03,SDPADRES,ATHLETICS,SD Padres,Athletics,+124,−118,−135,−148,−102,+114
