timestamp,team,raw_team
2025-04-08 09:28:25,NYYANKEES,NY Yankees
2025-04-08 09:28:25,DETTIGERS,DET Tigers
2025-04-08 09:28:25,MIAMARLINS,MIA Marlins
2025-04-08 09:28:25,NYMETS,NY Mets
2025-04-08 09:28:25,CHIWHITESOX,CHI White Sox
2025-04-08 09:28:25,CLEGUARDIANS,CLE Guardians
2025-04-08 09:28:25,STLCARDINALS,STL Cardinals
2025-04-08 09:28:25,PITPIRATES,PIT Pirates
2025-04-08 09:28:25,LADODGERS,LA Dodgers
2025-04-08 09:28:25,WASNATIONALS,WAS Nationals
2025-04-08 09:28:25,TORBLUEJAYS,TOR Blue Jays
2025-04-08 09:28:25,BOSREDSOX,BOS Red Sox
2025-04-08 09:28:25,LAANGELS,LA Angels
2025-04-08 09:28:25,TBRAYS,TB Rays
2025-04-08 09:28:25,PHIPHILLIES,PHI Phillies
2025-04-08 09:28:25,ATLBRAVES,ATL Braves
2025-04-08 09:28:25,MINTWINS,MIN Twins
2025-04-08 09:28:25,KCROYALS,KC Royals
2025-04-08 09:28:25,TEXRANGERS,TEX Rangers
2025-04-08 09:28:25,CHICUBS,CHI Cubs
2025-04-08 09:28:25,MILBREWERS,MIL Brewers
2025-04-08 09:28:25,COLROCKIES,COL Rockies
2025-04-08 09:28:25,BALORIOLES,BAL Orioles
2025-04-08 09:28:25,ARIDIAMONDBACKS,ARI Diamondbacks
2025-04-08 09:28:25,HOUASTROS,HOU Astros
2025-04-08 09:28:25,SEAMARINERS,SEA Mariners
2025-04-08 09:28:25,CINREDS,CIN Reds
2025-04-08 09:28:25,SFGIANTS,SF Giants
2025-04-08 09:28:25,SDPADRES,SD Padres
2025-04-08 09:28:25,ATHLETICS,Athletics
